Pkey,Year,Quarter,Year ending,Main accommodation used,Total visitors
415,2015,4,YEDec 2015,  Student residence,8134
416,2015,4,YEDec 2015,  Unknown,179257
417,2015,4,YEDec 2015,  Yacht or other boat,1946
418,2015,4,YEDec 2015,"  Youth Hostel, YMCA, YWCA",38349
419,2016,4,YEDec 2016,  A house you own,38681
420,2016,4,YEDec 2016,  Another place where you pay to park a caravan or campervan / motorhome overnight,16977
421,2016,4,YEDec 2016,  Backpackers,110229
422,2016,4,YEDec 2016,  Bed and Breakfast,129686
423,2016,4,YEDec 2016,  Camping at a National Park / Department of Conservation camping ground,29846
424,2016,4,YEDec 2016,  Farm-stay or Home-stay,27772
425,2016,4,YEDec 2016,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",20670
426,2016,4,YEDec 2016,  Hotel,769805
427,2016,4,YEDec 2016,  House / flat that you paid some rent for,143760
428,2016,4,YEDec 2016,  In a hut at a National Park / Department of Conservation area,12352
429,2016,4,YEDec 2016,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",156756
430,2016,4,YEDec 2016,  Marae,2240
431,2016,4,YEDec 2016,"  Motel, Motor Inn or Serviced Apartment",439546
432,2016,4,YEDec 2016,  NOT SURE,46350
433,2016,4,YEDec 2016,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",115260
434,2016,4,YEDec 2016,  Other,
435,2016,4,YEDec 2016,  Private Hotel / Guesthouse,47609
436,2016,4,YEDec 2016,  Staying with family or friends,910028
437,2016,4,YEDec 2016,  Student residence,12976
438,2016,4,YEDec 2016,  Unknown,26869
439,2016,4,YEDec 2016,  Yacht or other boat,7505
440,2016,4,YEDec 2016,"  Youth Hostel, YMCA, YWCA",62195
441,2017,4,YEDec 2017,  A house you own,67262
442,2017,4,YEDec 2017,  Another place where you pay to park a caravan or campervan / motorhome overnight,15377
443,2017,4,YEDec 2017,  Backpackers,96976
444,2017,4,YEDec 2017,  Bed and Breakfast,112756
445,2017,4,YEDec 2017,  Camping at a National Park / Department of Conservation camping ground,43820
446,2017,4,YEDec 2017,  Farm-stay or Home-stay,35093
447,2017,4,YEDec 2017,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",26625
448,2017,4,YEDec 2017,  Hotel,866778
449,2017,4,YEDec 2017,  House / flat that you paid some rent for,214839
450,2017,4,YEDec 2017,  In a hut at a National Park / Department of Conservation area,7507
451,2017,4,YEDec 2017,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",180101
452,2017,4,YEDec 2017,  Marae,657
453,2017,4,YEDec 2017,"  Motel, Motor Inn or Serviced Apartment",414511
454,2017,4,YEDec 2017,  NOT SURE,77919
455,2017,4,YEDec 2017,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",130903
456,2017,4,YEDec 2017,  Other,
457,2017,4,YEDec 2017,  Private Hotel / Guesthouse,46374
458,2017,4,YEDec 2017,  Staying with family or friends,891522
459,2017,4,YEDec 2017,  Student residence,8571
460,2017,4,YEDec 2017,  Unknown,24311
461,2017,4,YEDec 2017,  Yacht or other boat,2871
462,2017,4,YEDec 2017,"  Youth Hostel, YMCA, YWCA",50055
463,1998,2,YEJun 1998,  A house you own,
464,1998,2,YEJun 1998,  Another place where you pay to park a caravan or campervan / motorhome overnight,
465,1998,2,YEJun 1998,  Backpackers,98831
466,1998,2,YEJun 1998,  Bed and Breakfast,
467,1998,2,YEJun 1998,  Camping at a National Park / Department of Conservation camping ground,
468,1998,2,YEJun 1998,  Farm-stay or Home-stay,29306
469,1998,2,YEJun 1998,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",2508
470,1998,2,YEJun 1998,  Hotel,538536
471,1998,2,YEJun 1998,  House / flat that you paid some rent for,10852
472,1998,2,YEJun 1998,  In a hut at a National Park / Department of Conservation area,6206
473,1998,2,YEJun 1998,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",13974
474,1998,2,YEJun 1998,  Marae,
475,1998,2,YEJun 1998,"  Motel, Motor Inn or Serviced Apartment",207136
476,1998,2,YEJun 1998,  NOT SURE,15090
477,1998,2,YEJun 1998,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",57140
478,1998,2,YEJun 1998,  Other,
479,1998,2,YEJun 1998,  Private Hotel / Guesthouse,
480,1998,2,YEJun 1998,  Staying with family or friends,311627
481,1998,2,YEJun 1998,  Student residence,14340
482,1998,2,YEJun 1998,  Unknown,
483,1998,2,YEJun 1998,  Yacht or other boat,4114
484,1998,2,YEJun 1998,"  Youth Hostel, YMCA, YWCA",
485,1999,2,YEJun 1999,  A house you own,
486,1999,2,YEJun 1999,  Another place where you pay to park a caravan or campervan / motorhome overnight,
487,1999,2,YEJun 1999,  Backpackers,93532
488,1999,2,YEJun 1999,  Bed and Breakfast,
489,1999,2,YEJun 1999,  Camping at a National Park / Department of Conservation camping ground,
490,1999,2,YEJun 1999,  Farm-stay or Home-stay,40402
491,1999,2,YEJun 1999,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",4813
492,1999,2,YEJun 1999,  Hotel,568922
493,1999,2,YEJun 1999,  House / flat that you paid some rent for,9133
494,1999,2,YEJun 1999,  In a hut at a National Park / Department of Conservation area,5196
495,1999,2,YEJun 1999,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",13221
496,1999,2,YEJun 1999,  Marae,
497,1999,2,YEJun 1999,"  Motel, Motor Inn or Serviced Apartment",190419
498,1999,2,YEJun 1999,  NOT SURE,17399
499,1999,2,YEJun 1999,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",60869
500,1999,2,YEJun 1999,  Other,
501,1999,2,YEJun 1999,  Private Hotel / Guesthouse,
502,1999,2,YEJun 1999,  Staying with family or friends,339547
503,1999,2,YEJun 1999,  Student residence,13590
504,1999,2,YEJun 1999,  Unknown,
505,1999,2,YEJun 1999,  Yacht or other boat,13524
506,1999,2,YEJun 1999,"  Youth Hostel, YMCA, YWCA",
507,2000,2,YEJun 2000,  A house you own,
508,2000,2,YEJun 2000,  Another place where you pay to park a caravan or campervan / motorhome overnight,
509,2000,2,YEJun 2000,  Backpackers,104500
510,2000,2,YEJun 2000,  Bed and Breakfast,
511,2000,2,YEJun 2000,  Camping at a National Park / Department of Conservation camping ground,
512,2000,2,YEJun 2000,  Farm-stay or Home-stay,39099
513,2000,2,YEJun 2000,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",5440
514,2000,2,YEJun 2000,  Hotel,658279
515,2000,2,YEJun 2000,  House / flat that you paid some rent for,13455
516,2000,2,YEJun 2000,  In a hut at a National Park / Department of Conservation area,6219
517,2000,2,YEJun 2000,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",17367
518,2000,2,YEJun 2000,  Marae,
519,2000,2,YEJun 2000,"  Motel, Motor Inn or Serviced Apartment",191128
520,2000,2,YEJun 2000,  NOT SURE,13014
521,2000,2,YEJun 2000,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",71077
522,2000,2,YEJun 2000,  Other,
523,2000,2,YEJun 2000,  Private Hotel / Guesthouse,
524,2000,2,YEJun 2000,  Staying with family or friends,350980
525,2000,2,YEJun 2000,  Student residence,14790
526,2000,2,YEJun 2000,  Unknown,
527,2000,2,YEJun 2000,  Yacht or other boat,10766
528,2000,2,YEJun 2000,"  Youth Hostel, YMCA, YWCA",
529,2001,2,YEJun 2001,  A house you own,
530,2001,2,YEJun 2001,  Another place where you pay to park a caravan or campervan / motorhome overnight,
531,2001,2,YEJun 2001,  Backpackers,124766
532,2001,2,YEJun 2001,  Bed and Breakfast,
533,2001,2,YEJun 2001,  Camping at a National Park / Department of Conservation camping ground,
534,2001,2,YEJun 2001,  Farm-stay or Home-stay,57468
535,2001,2,YEJun 2001,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",3524
536,2001,2,YEJun 2001,  Hotel,707485
537,2001,2,YEJun 2001,  House / flat that you paid some rent for,17743
538,2001,2,YEJun 2001,  In a hut at a National Park / Department of Conservation area,5537
539,2001,2,YEJun 2001,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",22074
540,2001,2,YEJun 2001,  Marae,
541,2001,2,YEJun 2001,"  Motel, Motor Inn or Serviced Apartment",204268
542,2001,2,YEJun 2001,  NOT SURE,10536
543,2001,2,YEJun 2001,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",75821
544,2001,2,YEJun 2001,  Other,
545,2001,2,YEJun 2001,  Private Hotel / Guesthouse,
546,2001,2,YEJun 2001,  Staying with family or friends,373898
547,2001,2,YEJun 2001,  Student residence,18597
548,2001,2,YEJun 2001,  Unknown,
549,2001,2,YEJun 2001,  Yacht or other boat,9672
550,2001,2,YEJun 2001,"  Youth Hostel, YMCA, YWCA",
551,2002,2,YEJun 2002,  A house you own,
552,2002,2,YEJun 2002,  Another place where you pay to park a caravan or campervan / motorhome overnight,
553,2002,2,YEJun 2002,  Backpackers,122718
554,2002,2,YEJun 2002,  Bed and Breakfast,
555,2002,2,YEJun 2002,  Camping at a National Park / Department of Conservation camping ground,
556,2002,2,YEJun 2002,  Farm-stay or Home-stay,48358
557,2002,2,YEJun 2002,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",5114
558,2002,2,YEJun 2002,  Hotel,720126
559,2002,2,YEJun 2002,  House / flat that you paid some rent for,23021
560,2002,2,YEJun 2002,  In a hut at a National Park / Department of Conservation area,6350
561,2002,2,YEJun 2002,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",21948
562,2002,2,YEJun 2002,  Marae,
563,2002,2,YEJun 2002,"  Motel, Motor Inn or Serviced Apartment",231516
564,2002,2,YEJun 2002,  NOT SURE,12462
565,2002,2,YEJun 2002,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",58179
566,2002,2,YEJun 2002,  Other,
567,2002,2,YEJun 2002,  Private Hotel / Guesthouse,
568,2002,2,YEJun 2002,  Staying with family or friends,385257
569,2002,2,YEJun 2002,  Student residence,16921
570,2002,2,YEJun 2002,  Unknown,
571,2002,2,YEJun 2002,  Yacht or other boat,18006
572,2002,2,YEJun 2002,"  Youth Hostel, YMCA, YWCA",
573,2003,2,YEJun 2003,  A house you own,
574,2003,2,YEJun 2003,  Another place where you pay to park a caravan or campervan / motorhome overnight,
575,2003,2,YEJun 2003,  Backpackers,156551
576,2003,2,YEJun 2003,  Bed and Breakfast,
577,2003,2,YEJun 2003,  Camping at a National Park / Department of Conservation camping ground,
578,2003,2,YEJun 2003,  Farm-stay or Home-stay,51900
579,2003,2,YEJun 2003,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",5094
580,2003,2,YEJun 2003,  Hotel,678351
581,2003,2,YEJun 2003,  House / flat that you paid some rent for,25033
582,2003,2,YEJun 2003,  In a hut at a National Park / Department of Conservation area,9008
583,2003,2,YEJun 2003,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",19310
584,2003,2,YEJun 2003,  Marae,
585,2003,2,YEJun 2003,"  Motel, Motor Inn or Serviced Apartment",221512
586,2003,2,YEJun 2003,  NOT SURE,16816
587,2003,2,YEJun 2003,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",94115
588,2003,2,YEJun 2003,  Other,
589,2003,2,YEJun 2003,  Private Hotel / Guesthouse,
590,2003,2,YEJun 2003,  Staying with family or friends,461841
591,2003,2,YEJun 2003,  Student residence,26168
592,2003,2,YEJun 2003,  Unknown,
593,2003,2,YEJun 2003,  Yacht or other boat,15734
594,2003,2,YEJun 2003,"  Youth Hostel, YMCA, YWCA",
595,2004,2,YEJun 2004,  A house you own,
596,2004,2,YEJun 2004,  Another place where you pay to park a caravan or campervan / motorhome overnight,
597,2004,2,YEJun 2004,  Backpackers,180559
598,2004,2,YEJun 2004,  Bed and Breakfast,
599,2004,2,YEJun 2004,  Camping at a National Park / Department of Conservation camping ground,
600,2004,2,YEJun 2004,  Farm-stay or Home-stay,55957
601,2004,2,YEJun 2004,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",4362
602,2004,2,YEJun 2004,  Hotel,741320
603,2004,2,YEJun 2004,  House / flat that you paid some rent for,31436
604,2004,2,YEJun 2004,  In a hut at a National Park / Department of Conservation area,8593
605,2004,2,YEJun 2004,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",18543
606,2004,2,YEJun 2004,  Marae,
607,2004,2,YEJun 2004,"  Motel, Motor Inn or Serviced Apartment",270684
608,2004,2,YEJun 2004,  NOT SURE,27377
609,2004,2,YEJun 2004,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",75724
610,2004,2,YEJun 2004,  Other,
611,2004,2,YEJun 2004,  Private Hotel / Guesthouse,
612,2004,2,YEJun 2004,  Staying with family or friends,567136
613,2004,2,YEJun 2004,  Student residence,11432
614,2004,2,YEJun 2004,  Unknown,
615,2004,2,YEJun 2004,  Yacht or other boat,10496
616,2004,2,YEJun 2004,"  Youth Hostel, YMCA, YWCA",
617,2005,2,YEJun 2005,  A house you own,
618,2005,2,YEJun 2005,  Another place where you pay to park a caravan or campervan / motorhome overnight,
619,2005,2,YEJun 2005,  Backpackers,175310
620,2005,2,YEJun 2005,  Bed and Breakfast,38139
621,2005,2,YEJun 2005,  Camping at a National Park / Department of Conservation camping ground,1533
622,2005,2,YEJun 2005,  Farm-stay or Home-stay,25187
623,2005,2,YEJun 2005,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",7415
624,2005,2,YEJun 2005,  Hotel,769211
625,2005,2,YEJun 2005,  House / flat that you paid some rent for,30650
626,2005,2,YEJun 2005,  In a hut at a National Park / Department of Conservation area,8207
627,2005,2,YEJun 2005,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",35381
628,2005,2,YEJun 2005,  Marae,923
629,2005,2,YEJun 2005,"  Motel, Motor Inn or Serviced Apartment",286532
630,2005,2,YEJun 2005,  NOT SURE,43578
631,2005,2,YEJun 2005,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",85720
632,2005,2,YEJun 2005,  Other,
633,2005,2,YEJun 2005,  Private Hotel / Guesthouse,7297
634,2005,2,YEJun 2005,  Staying with family or friends,594339
635,2005,2,YEJun 2005,  Student residence,1735
636,2005,2,YEJun 2005,  Unknown,
637,2005,2,YEJun 2005,  Yacht or other boat,17679
638,2005,2,YEJun 2005,"  Youth Hostel, YMCA, YWCA",999
639,2006,2,YEJun 2006,  A house you own,
640,2006,2,YEJun 2006,  Another place where you pay to park a caravan or campervan / motorhome overnight,
641,2006,2,YEJun 2006,  Backpackers,169355
642,2006,2,YEJun 2006,  Bed and Breakfast,50808
643,2006,2,YEJun 2006,  Camping at a National Park / Department of Conservation camping ground,2535
644,2006,2,YEJun 2006,  Farm-stay or Home-stay,19762
645,2006,2,YEJun 2006,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",10162
646,2006,2,YEJun 2006,  Hotel,737612
647,2006,2,YEJun 2006,  House / flat that you paid some rent for,29235
648,2006,2,YEJun 2006,  In a hut at a National Park / Department of Conservation area,5350
649,2006,2,YEJun 2006,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",28570
650,2006,2,YEJun 2006,  Marae,1312
651,2006,2,YEJun 2006,"  Motel, Motor Inn or Serviced Apartment",314780
652,2006,2,YEJun 2006,  NOT SURE,38519
653,2006,2,YEJun 2006,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",88847
654,2006,2,YEJun 2006,  Other,
655,2006,2,YEJun 2006,  Private Hotel / Guesthouse,12422
656,2006,2,YEJun 2006,  Staying with family or friends,588586
657,2006,2,YEJun 2006,  Student residence,2887
658,2006,2,YEJun 2006,  Unknown,
659,2006,2,YEJun 2006,  Yacht or other boat,17970
660,2006,2,YEJun 2006,"  Youth Hostel, YMCA, YWCA",1306
661,2007,2,YEJun 2007,  A house you own,
662,2007,2,YEJun 2007,  Another place where you pay to park a caravan or campervan / motorhome overnight,
663,2007,2,YEJun 2007,  Backpackers,155990
664,2007,2,YEJun 2007,  Bed and Breakfast,40269
665,2007,2,YEJun 2007,  Camping at a National Park / Department of Conservation camping ground,2786
666,2007,2,YEJun 2007,  Farm-stay or Home-stay,14231
667,2007,2,YEJun 2007,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",11600
668,2007,2,YEJun 2007,  Hotel,771206
669,2007,2,YEJun 2007,  House / flat that you paid some rent for,34426
670,2007,2,YEJun 2007,  In a hut at a National Park / Department of Conservation area,13623
671,2007,2,YEJun 2007,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",29200
672,2007,2,YEJun 2007,  Marae,1672
673,2007,2,YEJun 2007,"  Motel, Motor Inn or Serviced Apartment",281780
674,2007,2,YEJun 2007,  NOT SURE,33744
675,2007,2,YEJun 2007,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",88547
676,2007,2,YEJun 2007,  Other,
677,2007,2,YEJun 2007,  Private Hotel / Guesthouse,7852
678,2007,2,YEJun 2007,  Staying with family or friends,661630
679,2007,2,YEJun 2007,  Student residence,4610
680,2007,2,YEJun 2007,  Unknown,
681,2007,2,YEJun 2007,  Yacht or other boat,33003
682,2007,2,YEJun 2007,"  Youth Hostel, YMCA, YWCA",85
683,2008,2,YEJun 2008,  A house you own,
684,2008,2,YEJun 2008,  Another place where you pay to park a caravan or campervan / motorhome overnight,
685,2008,2,YEJun 2008,  Backpackers,152838
686,2008,2,YEJun 2008,  Bed and Breakfast,46129
687,2008,2,YEJun 2008,  Camping at a National Park / Department of Conservation camping ground,7250
688,2008,2,YEJun 2008,  Farm-stay or Home-stay,14856
689,2008,2,YEJun 2008,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",11779
690,2008,2,YEJun 2008,  Hotel,734674
691,2008,2,YEJun 2008,  House / flat that you paid some rent for,29852
692,2008,2,YEJun 2008,  In a hut at a National Park / Department of Conservation area,8091
693,2008,2,YEJun 2008,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",29280
694,2008,2,YEJun 2008,  Marae,3462
695,2008,2,YEJun 2008,"  Motel, Motor Inn or Serviced Apartment",326506
696,2008,2,YEJun 2008,  NOT SURE,34540
697,2008,2,YEJun 2008,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",85424
698,2008,2,YEJun 2008,  Other,
699,2008,2,YEJun 2008,  Private Hotel / Guesthouse,12831
700,2008,2,YEJun 2008,  Staying with family or friends,656564
701,2008,2,YEJun 2008,  Student residence,4132
702,2008,2,YEJun 2008,  Unknown,
703,2008,2,YEJun 2008,  Yacht or other boat,37422
704,2008,2,YEJun 2008,"  Youth Hostel, YMCA, YWCA",4777
705,2009,2,YEJun 2009,  A house you own,
706,2009,2,YEJun 2009,  Another place where you pay to park a caravan or campervan / motorhome overnight,
707,2009,2,YEJun 2009,  Backpackers,159561
708,2009,2,YEJun 2009,  Bed and Breakfast,29534
709,2009,2,YEJun 2009,  Camping at a National Park / Department of Conservation camping ground,4418
710,2009,2,YEJun 2009,  Farm-stay or Home-stay,11575
711,2009,2,YEJun 2009,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",13566
712,2009,2,YEJun 2009,  Hotel,692467
713,2009,2,YEJun 2009,  House / flat that you paid some rent for,38252
714,2009,2,YEJun 2009,  In a hut at a National Park / Department of Conservation area,10419
715,2009,2,YEJun 2009,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",29004
716,2009,2,YEJun 2009,  Marae,5079
717,2009,2,YEJun 2009,"  Motel, Motor Inn or Serviced Apartment",262102
718,2009,2,YEJun 2009,  NOT SURE,39071
719,2009,2,YEJun 2009,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",78694
720,2009,2,YEJun 2009,  Other,
721,2009,2,YEJun 2009,  Private Hotel / Guesthouse,9005
722,2009,2,YEJun 2009,  Staying with family or friends,705686
723,2009,2,YEJun 2009,  Student residence,3128
724,2009,2,YEJun 2009,  Unknown,
725,2009,2,YEJun 2009,  Yacht or other boat,25974
726,2009,2,YEJun 2009,"  Youth Hostel, YMCA, YWCA",2219
727,2010,2,YEJun 2010,  A house you own,
728,2010,2,YEJun 2010,  Another place where you pay to park a caravan or campervan / motorhome overnight,
729,2010,2,YEJun 2010,  Backpackers,150819
730,2010,2,YEJun 2010,  Bed and Breakfast,35847
731,2010,2,YEJun 2010,  Camping at a National Park / Department of Conservation camping ground,9331
732,2010,2,YEJun 2010,  Farm-stay or Home-stay,13869
733,2010,2,YEJun 2010,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",17008
734,2010,2,YEJun 2010,  Hotel,720731
735,2010,2,YEJun 2010,  House / flat that you paid some rent for,41161
736,2010,2,YEJun 2010,  In a hut at a National Park / Department of Conservation area,11874
737,2010,2,YEJun 2010,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",34363
738,2010,2,YEJun 2010,  Marae,1862
739,2010,2,YEJun 2010,"  Motel, Motor Inn or Serviced Apartment",276781
740,2010,2,YEJun 2010,  NOT SURE,58374
741,2010,2,YEJun 2010,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",76255
742,2010,2,YEJun 2010,  Other,
743,2010,2,YEJun 2010,  Private Hotel / Guesthouse,10189
744,2010,2,YEJun 2010,  Staying with family or friends,722804
745,2010,2,YEJun 2010,  Student residence,3582
746,2010,2,YEJun 2010,  Unknown,
747,2010,2,YEJun 2010,  Yacht or other boat,20269
748,2010,2,YEJun 2010,"  Youth Hostel, YMCA, YWCA",851
749,2011,2,YEJun 2011,  A house you own,
750,2011,2,YEJun 2011,  Another place where you pay to park a caravan or campervan / motorhome overnight,
751,2011,2,YEJun 2011,  Backpackers,144792
752,2011,2,YEJun 2011,  Bed and Breakfast,37244
753,2011,2,YEJun 2011,  Camping at a National Park / Department of Conservation camping ground,10623
754,2011,2,YEJun 2011,  Farm-stay or Home-stay,13780
755,2011,2,YEJun 2011,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",18861
756,2011,2,YEJun 2011,  Hotel,713607
757,2011,2,YEJun 2011,  House / flat that you paid some rent for,62952
758,2011,2,YEJun 2011,  In a hut at a National Park / Department of Conservation area,12110
759,2011,2,YEJun 2011,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",30631
760,2011,2,YEJun 2011,  Marae,6404
761,2011,2,YEJun 2011,"  Motel, Motor Inn or Serviced Apartment",275469
762,2011,2,YEJun 2011,  NOT SURE,61711
763,2011,2,YEJun 2011,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",80214
764,2011,2,YEJun 2011,  Other,
765,2011,2,YEJun 2011,  Private Hotel / Guesthouse,11216
766,2011,2,YEJun 2011,  Staying with family or friends,726705
767,2011,2,YEJun 2011,  Student residence,4044
768,2011,2,YEJun 2011,  Unknown,
769,2011,2,YEJun 2011,  Yacht or other boat,20129
770,2011,2,YEJun 2011,"  Youth Hostel, YMCA, YWCA",2880
771,2012,2,YEJun 2012,  A house you own,
772,2012,2,YEJun 2012,  Another place where you pay to park a caravan or campervan / motorhome overnight,
773,2012,2,YEJun 2012,  Backpackers,140928
774,2012,2,YEJun 2012,  Bed and Breakfast,41626
775,2012,2,YEJun 2012,  Camping at a National Park / Department of Conservation camping ground,9335
776,2012,2,YEJun 2012,  Farm-stay or Home-stay,9935
777,2012,2,YEJun 2012,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",24344
778,2012,2,YEJun 2012,  Hotel,752897
779,2012,2,YEJun 2012,  House / flat that you paid some rent for,53494
780,2012,2,YEJun 2012,  In a hut at a National Park / Department of Conservation area,12156
781,2012,2,YEJun 2012,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",31601
782,2012,2,YEJun 2012,  Marae,2952
783,2012,2,YEJun 2012,"  Motel, Motor Inn or Serviced Apartment",297381
784,2012,2,YEJun 2012,  NOT SURE,65529
785,2012,2,YEJun 2012,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",74099
786,2012,2,YEJun 2012,  Other,
787,2012,2,YEJun 2012,  Private Hotel / Guesthouse,10931
788,2012,2,YEJun 2012,  Staying with family or friends,789782
789,2012,2,YEJun 2012,  Student residence,5789
790,2012,2,YEJun 2012,  Unknown,
791,2012,2,YEJun 2012,  Yacht or other boat,23610
792,2012,2,YEJun 2012,"  Youth Hostel, YMCA, YWCA",1013
793,2013,2,YEJun 2013,  A house you own,
794,2013,2,YEJun 2013,  Another place where you pay to park a caravan or campervan / motorhome overnight,
795,2013,2,YEJun 2013,  Backpackers,131429
796,2013,2,YEJun 2013,  Bed and Breakfast,31958
797,2013,2,YEJun 2013,  Camping at a National Park / Department of Conservation camping ground,10038
798,2013,2,YEJun 2013,  Farm-stay or Home-stay,7993
799,2013,2,YEJun 2013,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",15111
800,2013,2,YEJun 2013,  Hotel,800075
801,2013,2,YEJun 2013,  House / flat that you paid some rent for,62829
802,2013,2,YEJun 2013,  In a hut at a National Park / Department of Conservation area,10484
803,2013,2,YEJun 2013,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",40464
804,2013,2,YEJun 2013,  Marae,2019
805,2013,2,YEJun 2013,"  Motel, Motor Inn or Serviced Apartment",258307
806,2013,2,YEJun 2013,  NOT SURE,46938
807,2013,2,YEJun 2013,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",68679
808,2013,2,YEJun 2013,  Other,
809,2013,2,YEJun 2013,  Private Hotel / Guesthouse,9930
810,2013,2,YEJun 2013,  Staying with family or friends,834162
811,2013,2,YEJun 2013,  Student residence,2038
812,2013,2,YEJun 2013,  Unknown,
813,2013,2,YEJun 2013,  Yacht or other boat,15589
814,2013,2,YEJun 2013,"  Youth Hostel, YMCA, YWCA",1326
815,2014,2,YEJun 2014,  A house you own,
816,2014,2,YEJun 2014,  Another place where you pay to park a caravan or campervan / motorhome overnight,15259
817,2014,2,YEJun 2014,  Backpackers,78393
818,2014,2,YEJun 2014,  Bed and Breakfast,48854
819,2014,2,YEJun 2014,  Camping at a National Park / Department of Conservation camping ground,20702
820,2014,2,YEJun 2014,  Farm-stay or Home-stay,16256
821,2014,2,YEJun 2014,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",13649
822,2014,2,YEJun 2014,  Hotel,454512
823,2014,2,YEJun 2014,  House / flat that you paid some rent for,266068
824,2014,2,YEJun 2014,  In a hut at a National Park / Department of Conservation area,11577
825,2014,2,YEJun 2014,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",159043
826,2014,2,YEJun 2014,  Marae,2454
827,2014,2,YEJun 2014,"  Motel, Motor Inn or Serviced Apartment",421065
828,2014,2,YEJun 2014,  NOT SURE,112382
829,2014,2,YEJun 2014,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",80029
830,2014,2,YEJun 2014,  Other,
831,2014,2,YEJun 2014,  Private Hotel / Guesthouse,25746
832,2014,2,YEJun 2014,  Staying with family or friends,616951
833,2014,2,YEJun 2014,  Student residence,9328
834,2014,2,YEJun 2014,  Unknown,39855
