Pkey,Year,Quarter,Year ending,Main accommodation used,Total visitors
84,2000,4,YEDec 2000,  Staying with family or friends,363523
85,2000,4,YEDec 2000,  Student residence,15365
86,2000,4,YEDec 2000,  Unknown,
87,2000,4,YEDec 2000,  Yacht or other boat,10863
88,2000,4,YEDec 2000,"  Youth Hostel, YMCA, YWCA",
89,2001,4,YEDec 2001,  A house you own,
90,2001,4,YEDec 2001,  Another place where you pay to park a caravan or campervan / motorhome overnight,
91,2001,4,YEDec 2001,  Backpackers,128553
92,2001,4,YEDec 2001,  Bed and Breakfast,
93,2001,4,YEDec 2001,  Camping at a National Park / Department of Conservation camping ground,
94,2001,4,YEDec 2001,  Farm-stay or Home-stay,50530
95,2001,4,YEDec 2001,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",5506
96,2001,4,YEDec 2001,  Hotel,709939
97,2001,4,YEDec 2001,  House / flat that you paid some rent for,22145
98,2001,4,YEDec 2001,  In a hut at a National Park / Department of Conservation area,3133
99,2001,4,YEDec 2001,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",19636
100,2001,4,YEDec 2001,  Marae,
101,2001,4,YEDec 2001,"  Motel, Motor Inn or Serviced Apartment",215084
102,2001,4,YEDec 2001,  NOT SURE,11224
103,2001,4,YEDec 2001,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",69249
104,2001,4,YEDec 2001,  Other,
105,2001,4,YEDec 2001,  Private Hotel / Guesthouse,
106,2001,4,YEDec 2001,  Staying with family or friends,388892
107,2001,4,YEDec 2001,  Student residence,18229
108,2001,4,YEDec 2001,  Unknown,
109,2001,4,YEDec 2001,  Yacht or other boat,9013
110,2001,4,YEDec 2001,"  Youth Hostel, YMCA, YWCA",
111,2002,4,YEDec 2002,  A house you own,
112,2002,4,YEDec 2002,  Another place where you pay to park a caravan or campervan / motorhome overnight,
113,2002,4,YEDec 2002,  Backpackers,131517
114,2002,4,YEDec 2002,  Bed and Breakfast,
115,2002,4,YEDec 2002,  Camping at a National Park / Department of Conservation camping ground,
116,2002,4,YEDec 2002,  Farm-stay or Home-stay,50910
117,2002,4,YEDec 2002,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",4979
118,2002,4,YEDec 2002,  Hotel,769104
119,2002,4,YEDec 2002,  House / flat that you paid some rent for,23548
120,2002,4,YEDec 2002,  In a hut at a National Park / Department of Conservation area,7307
121,2002,4,YEDec 2002,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",22303
122,2002,4,YEDec 2002,  Marae,
123,2002,4,YEDec 2002,"  Motel, Motor Inn or Serviced Apartment",218139
124,2002,4,YEDec 2002,  NOT SURE,12593
125,2002,4,YEDec 2002,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",67137
126,2002,4,YEDec 2002,  Other,
127,2002,4,YEDec 2002,  Private Hotel / Guesthouse,
128,2002,4,YEDec 2002,  Staying with family or friends,392631
129,2002,4,YEDec 2002,  Student residence,20739
130,2002,4,YEDec 2002,  Unknown,
131,2002,4,YEDec 2002,  Yacht or other boat,19156
132,2002,4,YEDec 2002,"  Youth Hostel, YMCA, YWCA",
133,2003,4,YEDec 2003,  A house you own,
134,2003,4,YEDec 2003,  Another place where you pay to park a caravan or campervan / motorhome overnight,
135,2003,4,YEDec 2003,  Backpackers,172601
136,2003,4,YEDec 2003,  Bed and Breakfast,
137,2003,4,YEDec 2003,  Camping at a National Park / Department of Conservation camping ground,
138,2003,4,YEDec 2003,  Farm-stay or Home-stay,56212
139,2003,4,YEDec 2003,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",3215
140,2003,4,YEDec 2003,  Hotel,649385
141,2003,4,YEDec 2003,  House / flat that you paid some rent for,30837
142,2003,4,YEDec 2003,  In a hut at a National Park / Department of Conservation area,11607
143,2003,4,YEDec 2003,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",19231
144,2003,4,YEDec 2003,  Marae,
145,2003,4,YEDec 2003,"  Motel, Motor Inn or Serviced Apartment",248268
146,2003,4,YEDec 2003,  NOT SURE,20291
147,2003,4,YEDec 2003,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",89879
148,2003,4,YEDec 2003,  Other,
149,2003,4,YEDec 2003,  Private Hotel / Guesthouse,
150,2003,4,YEDec 2003,  Staying with family or friends,507099
151,2003,4,YEDec 2003,  Student residence,18486
152,2003,4,YEDec 2003,  Unknown,
153,2003,4,YEDec 2003,  Yacht or other boat,13643
154,2003,4,YEDec 2003,"  Youth Hostel, YMCA, YWCA",
155,2004,4,YEDec 2004,  A house you own,
156,2004,4,YEDec 2004,  Another place where you pay to park a caravan or campervan / motorhome overnight,
157,2004,4,YEDec 2004,  Backpackers,183462
158,2004,4,YEDec 2004,  Bed and Breakfast,11978
159,2004,4,YEDec 2004,  Camping at a National Park / Department of Conservation camping ground,165
160,2004,4,YEDec 2004,  Farm-stay or Home-stay,46832
161,2004,4,YEDec 2004,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",4757
162,2004,4,YEDec 2004,  Hotel,768100
163,2004,4,YEDec 2004,  House / flat that you paid some rent for,25736
164,2004,4,YEDec 2004,  In a hut at a National Park / Department of Conservation area,6848
165,2004,4,YEDec 2004,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",22888
166,2004,4,YEDec 2004,  Marae,529
167,2004,4,YEDec 2004,"  Motel, Motor Inn or Serviced Apartment",281011
168,2004,4,YEDec 2004,  NOT SURE,31745
169,2004,4,YEDec 2004,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",77880
170,2004,4,YEDec 2004,  Other,
171,2004,4,YEDec 2004,  Private Hotel / Guesthouse,4242
172,2004,4,YEDec 2004,  Staying with family or friends,600079
