Pkey,Year,Quarter,Year ending,Airport of departure,Purpose of visit,Age band,Total visitor spend,Total visitors
1,1997,4,YEDec 1997,Auckland,Business,20 - 24,6588341.03,2394
2,1997,4,YEDec 1997,Auckland,Business,25 - 29,43273730.7,12683
3,1997,4,YEDec 1997,Auckland,Business,30 - 34,38818037.47,20323
4,1997,4,YEDec 1997,Auckland,Business,35 - 39,49770076.13,25022
5,1997,4,YEDec 1997,Auckland,Business,40 - 44,70962337.03,25747
6,1997,4,YEDec 1997,Auckland,Business,45 - 49,46278192.59,20003
7,1997,4,YEDec 1997,Auckland,Business,50 - 54,42116955.1,17697
8,1997,4,YEDec 1997,Auckland,Business,55 - 59,21797778.85,7575
9,1997,4,YEDec 1997,Auckland,Business,60 - 64,7908413.22,4112
10,1997,4,YEDec 1997,Auckland,Business,65 - 69,3676030.3,2247
11,1997,4,YEDec 1997,Auckland,Business,70 - 74,,
12,1997,4,YEDec 1997,Auckland,Business,75 or older,,
13,1997,4,YEDec 1997,Auckland,Business,Rather not say,,
14,1997,4,YEDec 1997,Auckland,Business,Under 20,22220.38,327
15,1997,4,YEDec 1997,Auckland,Holiday / vacation,20 - 24,201865247.5,71869
16,1997,4,YEDec 1997,Auckland,Holiday / vacation,25 - 29,272972568.5,96639
17,1997,4,YEDec 1997,Auckland,Holiday / vacation,30 - 34,187262281.9,67241
18,1997,4,YEDec 1997,Auckland,Holiday / vacation,35 - 39,153215782.4,49170
19,1997,4,YEDec 1997,Auckland,Holiday / vacation,40 - 44,129920894.4,42389
20,1997,4,YEDec 1997,Auckland,Holiday / vacation,45 - 49,129442354,46991
21,1997,4,YEDec 1997,Auckland,Holiday / vacation,50 - 54,173535443.8,55335
22,1997,4,YEDec 1997,Auckland,Holiday / vacation,55 - 59,160154495.4,52820
23,1997,4,YEDec 1997,Auckland,Holiday / vacation,60 - 64,227512443.7,64468
24,1997,4,YEDec 1997,Auckland,Holiday / vacation,65 - 69,194540864,57133
25,1997,4,YEDec 1997,Auckland,Holiday / vacation,70 - 74,,
26,1997,4,YEDec 1997,Auckland,Holiday / vacation,75 or older,,
27,1997,4,YEDec 1997,Auckland,Holiday / vacation,Rather not say,7551473.91,2355
28,1997,4,YEDec 1997,Auckland,Holiday / vacation,Under 20,40315161.52,15087
29,1997,4,YEDec 1997,Auckland,Other,20 - 24,29117781.69,7381
30,1997,4,YEDec 1997,Auckland,Other,25 - 29,24766920.03,7343
31,1997,4,YEDec 1997,Auckland,Other,30 - 34,6418940.84,4284
32,1997,4,YEDec 1997,Auckland,Other,35 - 39,17284067.39,7304
33,1997,4,YEDec 1997,Auckland,Other,40 - 44,36968572.97,7965
34,1997,4,YEDec 1997,Auckland,Other,45 - 49,12324336.45,7279
35,1997,4,YEDec 1997,Auckland,Other,50 - 54,14533137.16,5169
36,1997,4,YEDec 1997,Auckland,Other,55 - 59,5226742.53,2546
37,1997,4,YEDec 1997,Auckland,Other,60 - 64,1495382.62,1229
38,1997,4,YEDec 1997,Auckland,Other,65 - 69,903846.47,521
39,1997,4,YEDec 1997,Auckland,Other,70 - 74,,
40,1997,4,YEDec 1997,Auckland,Other,75 or older,,
41,1997,4,YEDec 1997,Auckland,Other,Rather not say,1355221.36,452
42,1997,4,YEDec 1997,Auckland,Other,Under 20,39453589.58,11555
43,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,20 - 24,34905383.32,14905
44,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,25 - 29,39537717.27,19221
45,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,30 - 34,47614063.16,21878
46,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,35 - 39,80878462.75,21812
47,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,40 - 44,94403949.9,17761
48,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,45 - 49,53504693.62,17229
49,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,50 - 54,60714942.54,20236
50,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,55 - 59,48626527.16,15416
51,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,60 - 64,50581043.07,18973
52,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,65 - 69,94377344.25,25697
53,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,70 - 74,,
54,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,75 or older,,
55,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Rather not say,3364259.68,1086
56,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Under 20,15912285.01,7868
57,1997,4,YEDec 1997,Christchurch,Business,20 - 24,798647.19,488
58,1997,4,YEDec 1997,Christchurch,Business,25 - 29,6673654.41,2766
59,1997,4,YEDec 1997,Christchurch,Business,30 - 34,3942966.94,2094
60,1997,4,YEDec 1997,Christchurch,Business,35 - 39,3066309.67,2917
61,1997,4,YEDec 1997,Christchurch,Business,40 - 44,5784603.47,3465
62,1997,4,YEDec 1997,Christchurch,Business,45 - 49,6963817,3334
63,1997,4,YEDec 1997,Christchurch,Business,50 - 54,5152279.02,1019
64,1997,4,YEDec 1997,Christchurch,Business,55 - 59,1114279.44,807
65,1997,4,YEDec 1997,Christchurch,Business,60 - 64,890545.02,649
66,1997,4,YEDec 1997,Christchurch,Business,65 - 69,1771944.49,922
67,1997,4,YEDec 1997,Christchurch,Business,70 - 74,,
68,1997,4,YEDec 1997,Christchurch,Business,75 or older,,
69,1997,4,YEDec 1997,Christchurch,Business,Rather not say,,
70,1997,4,YEDec 1997,Christchurch,Business,Under 20,,
71,1997,4,YEDec 1997,Christchurch,Holiday / vacation,20 - 24,62377786.43,23556
72,1997,4,YEDec 1997,Christchurch,Holiday / vacation,25 - 29,86862372.97,31622
73,1997,4,YEDec 1997,Christchurch,Holiday / vacation,30 - 34,56072892.86,20595
74,1997,4,YEDec 1997,Christchurch,Holiday / vacation,35 - 39,42644672.72,13186
75,1997,4,YEDec 1997,Christchurch,Holiday / vacation,40 - 44,47935744.1,15301
76,1997,4,YEDec 1997,Christchurch,Holiday / vacation,45 - 49,42506495.74,15908
77,1997,4,YEDec 1997,Christchurch,Holiday / vacation,50 - 54,53505606.93,16877
78,1997,4,YEDec 1997,Christchurch,Holiday / vacation,55 - 59,39520422.47,13909
79,1997,4,YEDec 1997,Christchurch,Holiday / vacation,60 - 64,49815751.51,13685
80,1997,4,YEDec 1997,Christchurch,Holiday / vacation,65 - 69,71888675.4,22491
81,1997,4,YEDec 1997,Christchurch,Holiday / vacation,70 - 74,,
82,1997,4,YEDec 1997,Christchurch,Holiday / vacation,75 or older,,
83,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Rather not say,1131236.82,540
84,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Under 20,10098304.6,4679
85,1997,4,YEDec 1997,Christchurch,Other,20 - 24,2703730.2,1999
86,1997,4,YEDec 1997,Christchurch,Other,25 - 29,4074970.38,1280
87,1997,4,YEDec 1997,Christchurch,Other,30 - 34,2216607.63,697
88,1997,4,YEDec 1997,Christchurch,Other,35 - 39,1433592.46,1883
89,1997,4,YEDec 1997,Christchurch,Other,40 - 44,2390808.67,1556
90,1997,4,YEDec 1997,Christchurch,Other,45 - 49,2408195.73,1457
91,1997,4,YEDec 1997,Christchurch,Other,50 - 54,2275508.99,914
92,1997,4,YEDec 1997,Christchurch,Other,55 - 59,2146892.72,467
93,1997,4,YEDec 1997,Christchurch,Other,60 - 64,,
94,1997,4,YEDec 1997,Christchurch,Other,65 - 69,2510308,515
95,1997,4,YEDec 1997,Christchurch,Other,70 - 74,,
96,1997,4,YEDec 1997,Christchurch,Other,75 or older,,
97,1997,4,YEDec 1997,Christchurch,Other,Rather not say,,
98,1997,4,YEDec 1997,Christchurch,Other,Under 20,3354151.72,1597
99,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,20 - 24,2197531.88,1506
100,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,25 - 29,2485775.33,1673
101,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,30 - 34,8896868.77,3094
102,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,35 - 39,6493944.34,2891
103,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,40 - 44,5784939.95,2616
104,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,45 - 49,10421806.58,3077
105,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,50 - 54,14414294.21,5105
106,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,55 - 59,6588034.41,834
107,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,60 - 64,5823891.53,1832
108,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,65 - 69,9141700.4,3589
109,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,70 - 74,,
110,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,75 or older,,
111,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,Rather not say,2738784.72,601
112,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,Under 20,303649.69,98
113,1997,4,YEDec 1997,Queenstown,Business,20 - 24,,
114,1997,4,YEDec 1997,Queenstown,Business,25 - 29,,
115,1997,4,YEDec 1997,Queenstown,Business,30 - 34,,
116,1997,4,YEDec 1997,Queenstown,Business,35 - 39,,
117,1997,4,YEDec 1997,Queenstown,Business,40 - 44,,
118,1997,4,YEDec 1997,Queenstown,Business,45 - 49,,
119,1997,4,YEDec 1997,Queenstown,Business,50 - 54,,
120,1997,4,YEDec 1997,Queenstown,Business,55 - 59,,
121,1997,4,YEDec 1997,Queenstown,Business,60 - 64,,
122,1997,4,YEDec 1997,Queenstown,Business,65 - 69,,
123,1997,4,YEDec 1997,Queenstown,Business,70 - 74,,
124,1997,4,YEDec 1997,Queenstown,Business,75 or older,,
125,1997,4,YEDec 1997,Queenstown,Business,Rather not say,,
126,1997,4,YEDec 1997,Queenstown,Business,Under 20,,
127,1997,4,YEDec 1997,Queenstown,Holiday / vacation,20 - 24,,
128,1997,4,YEDec 1997,Queenstown,Holiday / vacation,25 - 29,,
129,1997,4,YEDec 1997,Queenstown,Holiday / vacation,30 - 34,,
130,1997,4,YEDec 1997,Queenstown,Holiday / vacation,35 - 39,,
131,1997,4,YEDec 1997,Queenstown,Holiday / vacation,40 - 44,,
132,1997,4,YEDec 1997,Queenstown,Holiday / vacation,45 - 49,,
133,1997,4,YEDec 1997,Queenstown,Holiday / vacation,50 - 54,,
134,1997,4,YEDec 1997,Queenstown,Holiday / vacation,55 - 59,,
135,1997,4,YEDec 1997,Queenstown,Holiday / vacation,60 - 64,,
136,1997,4,YEDec 1997,Queenstown,Holiday / vacation,65 - 69,,
137,1997,4,YEDec 1997,Queenstown,Holiday / vacation,70 - 74,,
138,1997,4,YEDec 1997,Queenstown,Holiday / vacation,75 or older,,
139,1997,4,YEDec 1997,Queenstown,Holiday / vacation,Rather not say,,
140,1997,4,YEDec 1997,Queenstown,Holiday / vacation,Under 20,,
141,1997,4,YEDec 1997,Queenstown,Other,20 - 24,,
142,1997,4,YEDec 1997,Queenstown,Other,25 - 29,,
143,1997,4,YEDec 1997,Queenstown,Other,30 - 34,,
144,1997,4,YEDec 1997,Queenstown,Other,35 - 39,,
145,1997,4,YEDec 1997,Queenstown,Other,40 - 44,,
146,1997,4,YEDec 1997,Queenstown,Other,45 - 49,,
147,1997,4,YEDec 1997,Queenstown,Other,50 - 54,,
148,1997,4,YEDec 1997,Queenstown,Other,55 - 59,,
149,1997,4,YEDec 1997,Queenstown,Other,60 - 64,,
150,1997,4,YEDec 1997,Queenstown,Other,65 - 69,,
151,1997,4,YEDec 1997,Queenstown,Other,70 - 74,,
152,1997,4,YEDec 1997,Queenstown,Other,75 or older,,
153,1997,4,YEDec 1997,Queenstown,Other,Rather not say,,
154,1997,4,YEDec 1997,Queenstown,Other,Under 20,,
155,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,20 - 24,,
156,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,25 - 29,,
157,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,30 - 34,,
158,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,35 - 39,,
159,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,40 - 44,,
160,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,45 - 49,,
161,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,50 - 54,,
162,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,55 - 59,,
163,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,60 - 64,,
164,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,65 - 69,,
165,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,70 - 74,,
166,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,75 or older,,
167,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,Rather not say,,
168,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,Under 20,,
169,1997,4,YEDec 1997,Wellington,Business,20 - 24,320239.59,284
170,1997,4,YEDec 1997,Wellington,Business,25 - 29,3757703.39,2475
171,1997,4,YEDec 1997,Wellington,Business,30 - 34,4518574.61,2986
172,1997,4,YEDec 1997,Wellington,Business,35 - 39,6231781.31,3961
173,1997,4,YEDec 1997,Wellington,Business,40 - 44,7144148.62,4585
174,1997,4,YEDec 1997,Wellington,Business,45 - 49,7328273.35,4606
175,1997,4,YEDec 1997,Wellington,Business,50 - 54,2853237.96,1686
176,1997,4,YEDec 1997,Wellington,Business,55 - 59,5716959.94,2302
177,1997,4,YEDec 1997,Wellington,Business,60 - 64,122992.34,272
178,1997,4,YEDec 1997,Wellington,Business,65 - 69,2895096.15,587
179,1997,4,YEDec 1997,Wellington,Business,70 - 74,,
180,1997,4,YEDec 1997,Wellington,Business,75 or older,,
181,1997,4,YEDec 1997,Wellington,Business,Rather not say,,
182,1997,4,YEDec 1997,Wellington,Business,Under 20,599068.96,225
183,1997,4,YEDec 1997,Wellington,Holiday / vacation,20 - 24,1823872.37,1029
184,1997,4,YEDec 1997,Wellington,Holiday / vacation,25 - 29,1442220.68,211
185,1997,4,YEDec 1997,Wellington,Holiday / vacation,30 - 34,4330319.63,2220
186,1997,4,YEDec 1997,Wellington,Holiday / vacation,35 - 39,1903418.95,1272
187,1997,4,YEDec 1997,Wellington,Holiday / vacation,40 - 44,1441168.16,587
188,1997,4,YEDec 1997,Wellington,Holiday / vacation,45 - 49,2058188.06,824
189,1997,4,YEDec 1997,Wellington,Holiday / vacation,50 - 54,3053921.17,734
190,1997,4,YEDec 1997,Wellington,Holiday / vacation,55 - 59,2867911.5,1084
191,1997,4,YEDec 1997,Wellington,Holiday / vacation,60 - 64,2828794.77,1378
192,1997,4,YEDec 1997,Wellington,Holiday / vacation,65 - 69,1823506.19,689
193,1997,4,YEDec 1997,Wellington,Holiday / vacation,70 - 74,,
194,1997,4,YEDec 1997,Wellington,Holiday / vacation,75 or older,,
195,1997,4,YEDec 1997,Wellington,Holiday / vacation,Rather not say,,
196,1997,4,YEDec 1997,Wellington,Holiday / vacation,Under 20,311157.76,382
197,1997,4,YEDec 1997,Wellington,Other,20 - 24,274728.08,225
198,1997,4,YEDec 1997,Wellington,Other,25 - 29,868394.27,556
199,1997,4,YEDec 1997,Wellington,Other,30 - 34,188684.41,225
200,1997,4,YEDec 1997,Wellington,Other,35 - 39,447384.63,272
201,1997,4,YEDec 1997,Wellington,Other,40 - 44,1825609.45,1083
202,1997,4,YEDec 1997,Wellington,Other,45 - 49,38435.11,272
203,1997,4,YEDec 1997,Wellington,Other,50 - 54,905686.2,630
204,1997,4,YEDec 1997,Wellington,Other,55 - 59,,
205,1997,4,YEDec 1997,Wellington,Other,60 - 64,,
206,1997,4,YEDec 1997,Wellington,Other,65 - 69,342933.52,204
207,1997,4,YEDec 1997,Wellington,Other,70 - 74,,
208,1997,4,YEDec 1997,Wellington,Other,75 or older,,
209,1997,4,YEDec 1997,Wellington,Other,Rather not say,,
210,1997,4,YEDec 1997,Wellington,Other,Under 20,152820.92,272
211,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,20 - 24,3772339.22,2584
212,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,25 - 29,1909675.73,1592
213,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,30 - 34,2985150.16,3382
214,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,35 - 39,7883211.38,3097
215,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,40 - 44,5674997.61,3385
216,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,45 - 49,8722433.43,3206
217,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,50 - 54,11442059.33,4593
218,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,55 - 59,4496680.65,2719
219,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,60 - 64,4352159.43,2315
220,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,65 - 69,6717394.82,3908
221,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,70 - 74,,
222,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,75 or older,,
223,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,Rather not say,,
224,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,Under 20,669882.62,453
225,1998,4,YEDec 1998,Auckland,Business,20 - 24,10035522.05,6021
226,1998,4,YEDec 1998,Auckland,Business,25 - 29,38584221.29,18391
227,1998,4,YEDec 1998,Auckland,Business,30 - 34,65251686.69,28134
228,1998,4,YEDec 1998,Auckland,Business,35 - 39,49676469.76,25634
229,1998,4,YEDec 1998,Auckland,Business,40 - 44,61747461.5,28465
230,1998,4,YEDec 1998,Auckland,Business,45 - 49,37958463.4,20049
231,1998,4,YEDec 1998,Auckland,Business,50 - 54,46437942.07,22121
232,1998,4,YEDec 1998,Auckland,Business,55 - 59,21106140.8,11629
233,1998,4,YEDec 1998,Auckland,Business,60 - 64,11925558.94,2379
234,1998,4,YEDec 1998,Auckland,Business,65 - 69,5797216.19,2014
235,1998,4,YEDec 1998,Auckland,Business,70 - 74,,
236,1998,4,YEDec 1998,Auckland,Business,75 or older,,
237,1998,4,YEDec 1998,Auckland,Business,Rather not say,,
238,1998,4,YEDec 1998,Auckland,Business,Under 20,1222836.3,800
239,1998,4,YEDec 1998,Auckland,Holiday / vacation,20 - 24,139857266.6,51766
240,1998,4,YEDec 1998,Auckland,Holiday / vacation,25 - 29,240215564.8,77155
241,1998,4,YEDec 1998,Auckland,Holiday / vacation,30 - 34,210688596.4,64624
242,1998,4,YEDec 1998,Auckland,Holiday / vacation,35 - 39,114156129.4,39844
243,1998,4,YEDec 1998,Auckland,Holiday / vacation,40 - 44,143613852.9,41757
244,1998,4,YEDec 1998,Auckland,Holiday / vacation,45 - 49,141851234.7,40582
245,1998,4,YEDec 1998,Auckland,Holiday / vacation,50 - 54,157534199,44460
246,1998,4,YEDec 1998,Auckland,Holiday / vacation,55 - 59,202857950.7,53855
247,1998,4,YEDec 1998,Auckland,Holiday / vacation,60 - 64,206813367.5,51698
248,1998,4,YEDec 1998,Auckland,Holiday / vacation,65 - 69,275455620.6,57359
249,1998,4,YEDec 1998,Auckland,Holiday / vacation,70 - 74,,
250,1998,4,YEDec 1998,Auckland,Holiday / vacation,75 or older,,
251,1998,4,YEDec 1998,Auckland,Holiday / vacation,Rather not say,609933.58,526
252,1998,4,YEDec 1998,Auckland,Holiday / vacation,Under 20,50315090.72,17793
253,1998,4,YEDec 1998,Auckland,Other,20 - 24,10368291.86,5668
254,1998,4,YEDec 1998,Auckland,Other,25 - 29,16488056.64,4818
255,1998,4,YEDec 1998,Auckland,Other,30 - 34,16296949.62,5542
256,1998,4,YEDec 1998,Auckland,Other,35 - 39,7260927.98,3965
257,1998,4,YEDec 1998,Auckland,Other,40 - 44,12582701.26,5037
258,1998,4,YEDec 1998,Auckland,Other,45 - 49,3861576.13,3005
259,1998,4,YEDec 1998,Auckland,Other,50 - 54,15520905.17,8231
260,1998,4,YEDec 1998,Auckland,Other,55 - 59,8878577.54,3354
261,1998,4,YEDec 1998,Auckland,Other,60 - 64,4921938.14,2342
262,1998,4,YEDec 1998,Auckland,Other,65 - 69,1445574.09,1652
263,1998,4,YEDec 1998,Auckland,Other,70 - 74,,
264,1998,4,YEDec 1998,Auckland,Other,75 or older,,
265,1998,4,YEDec 1998,Auckland,Other,Rather not say,,
266,1998,4,YEDec 1998,Auckland,Other,Under 20,22272492.19,8266
267,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,20 - 24,30827176.43,14434
268,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,25 - 29,59836204.78,21726
269,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,30 - 34,57042511.67,23315
270,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,35 - 39,49520980.57,20674
271,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,40 - 44,70144758.22,27571
272,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,45 - 49,74545313.52,22806
273,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,50 - 54,73928180.98,24154
274,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,55 - 59,63971543.9,18809
275,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,60 - 64,59473270.16,19954
276,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,65 - 69,73385309.54,21723
277,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,70 - 74,,
278,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,75 or older,,
279,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,Rather not say,,
280,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,Under 20,18401005.05,7705
281,1998,4,YEDec 1998,Christchurch,Business,20 - 24,1141478.08,537
282,1998,4,YEDec 1998,Christchurch,Business,25 - 29,10283918.25,3795
283,1998,4,YEDec 1998,Christchurch,Business,30 - 34,1783824.89,1271
284,1998,4,YEDec 1998,Christchurch,Business,35 - 39,10140170.47,3885
285,1998,4,YEDec 1998,Christchurch,Business,40 - 44,5819154.03,3383
286,1998,4,YEDec 1998,Christchurch,Business,45 - 49,5827989.46,3202
287,1998,4,YEDec 1998,Christchurch,Business,50 - 54,15263111.62,2341
288,1998,4,YEDec 1998,Christchurch,Business,55 - 59,2636375.57,1359
289,1998,4,YEDec 1998,Christchurch,Business,60 - 64,3157687.7,853
290,1998,4,YEDec 1998,Christchurch,Business,65 - 69,4743672.9,1734
291,1998,4,YEDec 1998,Christchurch,Business,70 - 74,,
292,1998,4,YEDec 1998,Christchurch,Business,75 or older,,
293,1998,4,YEDec 1998,Christchurch,Business,Rather not say,779079.75,334
294,1998,4,YEDec 1998,Christchurch,Business,Under 20,,
295,1998,4,YEDec 1998,Christchurch,Holiday / vacation,20 - 24,76876677.39,25696
296,1998,4,YEDec 1998,Christchurch,Holiday / vacation,25 - 29,121210532.7,38911
297,1998,4,YEDec 1998,Christchurch,Holiday / vacation,30 - 34,83344418.43,22596
298,1998,4,YEDec 1998,Christchurch,Holiday / vacation,35 - 39,50883095.58,15003
299,1998,4,YEDec 1998,Christchurch,Holiday / vacation,40 - 44,33237350.72,13673
300,1998,4,YEDec 1998,Christchurch,Holiday / vacation,45 - 49,44155314.1,14027
301,1998,4,YEDec 1998,Christchurch,Holiday / vacation,50 - 54,57345660.54,15812
302,1998,4,YEDec 1998,Christchurch,Holiday / vacation,55 - 59,46165636.91,12670
303,1998,4,YEDec 1998,Christchurch,Holiday / vacation,60 - 64,67893102.77,17328
304,1998,4,YEDec 1998,Christchurch,Holiday / vacation,65 - 69,82397397.99,20697
305,1998,4,YEDec 1998,Christchurch,Holiday / vacation,70 - 74,,
306,1998,4,YEDec 1998,Christchurch,Holiday / vacation,75 or older,,
307,1998,4,YEDec 1998,Christchurch,Holiday / vacation,Rather not say,1413291.71,648
308,1998,4,YEDec 1998,Christchurch,Holiday / vacation,Under 20,14848288.92,7499
309,1998,4,YEDec 1998,Christchurch,Other,20 - 24,11595008.72,2446
310,1998,4,YEDec 1998,Christchurch,Other,25 - 29,5094154.2,2482
311,1998,4,YEDec 1998,Christchurch,Other,30 - 34,1046144.03,990
312,1998,4,YEDec 1998,Christchurch,Other,35 - 39,745125.57,566
313,1998,4,YEDec 1998,Christchurch,Other,40 - 44,2190422.55,643
314,1998,4,YEDec 1998,Christchurch,Other,45 - 49,1901901.1,949
315,1998,4,YEDec 1998,Christchurch,Other,50 - 54,3565604.88,1367
316,1998,4,YEDec 1998,Christchurch,Other,55 - 59,1193347.34,564
317,1998,4,YEDec 1998,Christchurch,Other,60 - 64,2730397.87,810
318,1998,4,YEDec 1998,Christchurch,Other,65 - 69,1378726.48,483
319,1998,4,YEDec 1998,Christchurch,Other,70 - 74,,
320,1998,4,YEDec 1998,Christchurch,Other,75 or older,,
321,1998,4,YEDec 1998,Christchurch,Other,Rather not say,,
322,1998,4,YEDec 1998,Christchurch,Other,Under 20,748391.58,232
323,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,20 - 24,6828750.4,2863
324,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,25 - 29,4281907.88,2879
325,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,30 - 34,10783261.69,3305
326,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,35 - 39,6275696.61,1965
327,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,40 - 44,1984849.26,963
328,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,45 - 49,7984216.32,2845
329,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,50 - 54,8237040.43,2036
330,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,55 - 59,1280650.39,715
331,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,60 - 64,3306822.4,1526
332,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,65 - 69,9567050.8,2616
333,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,70 - 74,,
334,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,75 or older,,
335,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,Rather not say,702391.67,228
336,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,Under 20,1557049.89,531
337,1998,4,YEDec 1998,Queenstown,Business,20 - 24,,
338,1998,4,YEDec 1998,Queenstown,Business,25 - 29,,
339,1998,4,YEDec 1998,Queenstown,Business,30 - 34,,
340,1998,4,YEDec 1998,Queenstown,Business,35 - 39,,
341,1998,4,YEDec 1998,Queenstown,Business,40 - 44,,
342,1998,4,YEDec 1998,Queenstown,Business,45 - 49,,
343,1998,4,YEDec 1998,Queenstown,Business,50 - 54,,
344,1998,4,YEDec 1998,Queenstown,Business,55 - 59,,
345,1998,4,YEDec 1998,Queenstown,Business,60 - 64,,
346,1998,4,YEDec 1998,Queenstown,Business,65 - 69,,
347,1998,4,YEDec 1998,Queenstown,Business,70 - 74,,
348,1998,4,YEDec 1998,Queenstown,Business,75 or older,,
349,1998,4,YEDec 1998,Queenstown,Business,Rather not say,,
350,1998,4,YEDec 1998,Queenstown,Business,Under 20,,
351,1998,4,YEDec 1998,Queenstown,Holiday / vacation,20 - 24,,
352,1998,4,YEDec 1998,Queenstown,Holiday / vacation,25 - 29,,
353,1998,4,YEDec 1998,Queenstown,Holiday / vacation,30 - 34,,
354,1998,4,YEDec 1998,Queenstown,Holiday / vacation,35 - 39,,
355,1998,4,YEDec 1998,Queenstown,Holiday / vacation,40 - 44,,
356,1998,4,YEDec 1998,Queenstown,Holiday / vacation,45 - 49,,
357,1998,4,YEDec 1998,Queenstown,Holiday / vacation,50 - 54,,
358,1998,4,YEDec 1998,Queenstown,Holiday / vacation,55 - 59,,
