Pkey,Year,Quarter,Year ending,Airport of departure,Purpose of visit,Country of permanent residence,Total visitor spend,Total visitors
1,1997,4,YEDec 1997,Auckland,Business,Africa and Middle East,4266524.07,1684
2,1997,4,YEDec 1997,Auckland,Business,Australia,132588505.8,67277
3,1997,4,YEDec 1997,Auckland,Business,Canada,15589694.21,3596
4,1997,4,YEDec 1997,Auckland,Business,China,9490117.52,4510
5,1997,4,YEDec 1997,Auckland,Business,Germany,5481105.51,1889
6,1997,4,YEDec 1997,Auckland,Business,Japan,35569643.14,8381
7,1997,4,YEDec 1997,Auckland,Business,"Korea, Republic of",6247531.69,3519
8,1997,4,YEDec 1997,Auckland,Business,Rest of Americas,191980.36,424
9,1997,4,YEDec 1997,Auckland,Business,Rest of Asia,24543230.4,9194
10,1997,4,YEDec 1997,Auckland,Business,Rest of Europe,17934797.3,6677
11,1997,4,YEDec 1997,Auckland,Business,Rest of Oceania,12015457.76,5959
12,1997,4,YEDec 1997,Auckland,Business,UK,22807616.65,8460
13,1997,4,YEDec 1997,Auckland,Business,USA,44485908.35,16559
14,1997,4,YEDec 1997,Auckland,Holiday / vacation,Africa and Middle East,52923940,16699
15,1997,4,YEDec 1997,Auckland,Holiday / vacation,Australia,180850204,84411
16,1997,4,YEDec 1997,Auckland,Holiday / vacation,Canada,30900263.03,12306
17,1997,4,YEDec 1997,Auckland,Holiday / vacation,China,10755757.62,4331
18,1997,4,YEDec 1997,Auckland,Holiday / vacation,Germany,100130153.5,26974
19,1997,4,YEDec 1997,Auckland,Holiday / vacation,Japan,457274631.6,114330
20,1997,4,YEDec 1997,Auckland,Holiday / vacation,"Korea, Republic of",158228308.5,81217
21,1997,4,YEDec 1997,Auckland,Holiday / vacation,Rest of Americas,31464829.72,8884
22,1997,4,YEDec 1997,Auckland,Holiday / vacation,Rest of Asia,227773469.9,74111
23,1997,4,YEDec 1997,Auckland,Holiday / vacation,Rest of Europe,123930063,39218
24,1997,4,YEDec 1997,Auckland,Holiday / vacation,Rest of Oceania,42129077.97,21538
25,1997,4,YEDec 1997,Auckland,Holiday / vacation,UK,209008574.6,65696
26,1997,4,YEDec 1997,Auckland,Holiday / vacation,USA,252919737.5,71782
27,1997,4,YEDec 1997,Auckland,Other,Africa and Middle East,22156488.26,836
28,1997,4,YEDec 1997,Auckland,Other,Australia,23542483.59,15867
29,1997,4,YEDec 1997,Auckland,Other,Canada,4666446.66,1964
30,1997,4,YEDec 1997,Auckland,Other,China,642483.51,211
31,1997,4,YEDec 1997,Auckland,Other,Germany,2499985.91,1012
32,1997,4,YEDec 1997,Auckland,Other,Japan,36894385.8,10080
33,1997,4,YEDec 1997,Auckland,Other,"Korea, Republic of",22167567.06,3689
34,1997,4,YEDec 1997,Auckland,Other,Rest of Americas,5823248.11,1766
35,1997,4,YEDec 1997,Auckland,Other,Rest of Asia,31933515.77,8814
36,1997,4,YEDec 1997,Auckland,Other,Rest of Europe,5752776.37,1784
37,1997,4,YEDec 1997,Auckland,Other,Rest of Oceania,14792105.67,9272
38,1997,4,YEDec 1997,Auckland,Other,UK,3698566.79,2547
39,1997,4,YEDec 1997,Auckland,Other,USA,15278485.58,5183
40,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Africa and Middle East,27433604.93,8896
41,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Australia,137384315.3,76300
42,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Canada,18447475.48,5181
43,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,China,3424696.68,917
44,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Germany,16320118.3,2284
45,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Japan,14299523.82,2517
46,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,"Korea, Republic of",21622547.36,6546
47,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Rest of Americas,159179.66,424
48,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Rest of Asia,89445115.87,20422
49,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Rest of Europe,54862297.47,8150
50,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Rest of Oceania,66880929.31,24616
51,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,UK,146930242.3,37331
52,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,USA,27210625.33,8498
53,1997,4,YEDec 1997,Christchurch,Business,Africa and Middle East,2304932.31,1242
54,1997,4,YEDec 1997,Christchurch,Business,Australia,15801298.5,9157
55,1997,4,YEDec 1997,Christchurch,Business,Canada,,
56,1997,4,YEDec 1997,Christchurch,Business,China,545745.11,399
57,1997,4,YEDec 1997,Christchurch,Business,Germany,933900.42,408
58,1997,4,YEDec 1997,Christchurch,Business,Japan,2808750.04,1450
59,1997,4,YEDec 1997,Christchurch,Business,"Korea, Republic of",444690.96,376
60,1997,4,YEDec 1997,Christchurch,Business,Rest of Americas,,
61,1997,4,YEDec 1997,Christchurch,Business,Rest of Asia,2354555.72,1070
62,1997,4,YEDec 1997,Christchurch,Business,Rest of Europe,2800136.27,832
63,1997,4,YEDec 1997,Christchurch,Business,Rest of Oceania,,
64,1997,4,YEDec 1997,Christchurch,Business,UK,2698050.23,1493
65,1997,4,YEDec 1997,Christchurch,Business,USA,5466987.07,2034
66,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Africa and Middle East,20053758.59,8520
67,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Australia,174742593.4,62986
68,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Canada,11657743.16,4392
69,1997,4,YEDec 1997,Christchurch,Holiday / vacation,China,2561366.92,571
70,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Germany,43677438.16,10207
71,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Japan,27474749.75,10767
72,1997,4,YEDec 1997,Christchurch,Holiday / vacation,"Korea, Republic of",5254019.58,3353
73,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Rest of Americas,6181408.04,1690
74,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Rest of Asia,85287095.5,28841
75,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Rest of Europe,57280762.36,17723
76,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Rest of Oceania,3633427.73,2167
77,1997,4,YEDec 1997,Christchurch,Holiday / vacation,UK,50976111.67,16048
78,1997,4,YEDec 1997,Christchurch,Holiday / vacation,USA,75579487.69,25084
79,1997,4,YEDec 1997,Christchurch,Other,Africa and Middle East,,
80,1997,4,YEDec 1997,Christchurch,Other,Australia,12033465.46,7961
81,1997,4,YEDec 1997,Christchurch,Other,Canada,,
82,1997,4,YEDec 1997,Christchurch,Other,China,,
83,1997,4,YEDec 1997,Christchurch,Other,Germany,,
84,1997,4,YEDec 1997,Christchurch,Other,Japan,1966057.5,970
85,1997,4,YEDec 1997,Christchurch,Other,"Korea, Republic of",417139.67,301
86,1997,4,YEDec 1997,Christchurch,Other,Rest of Americas,,
87,1997,4,YEDec 1997,Christchurch,Other,Rest of Asia,5020671.76,1608
88,1997,4,YEDec 1997,Christchurch,Other,Rest of Europe,2041573.23,611
89,1997,4,YEDec 1997,Christchurch,Other,Rest of Oceania,,
90,1997,4,YEDec 1997,Christchurch,Other,UK,2837849.33,438
91,1997,4,YEDec 1997,Christchurch,Other,USA,1198009.56,476
92,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,Africa and Middle East,7902185.05,1266
93,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,Australia,25868782.86,14030
94,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,Canada,647723.96,157
95,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,China,363322.76,152
96,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,Germany,2919794.75,665
97,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,Japan,263045.39,292
98,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,"Korea, Republic of",,
99,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,Rest of Americas,,
100,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,Rest of Asia,5982725.03,1743
101,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,Rest of Europe,7084500.8,2191
102,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,Rest of Oceania,1496305.97,453
103,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,UK,20550731.46,5518
104,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,USA,2212103.8,450
105,1997,4,YEDec 1997,Queenstown,Business,Africa and Middle East,,
106,1997,4,YEDec 1997,Queenstown,Business,Australia,,
107,1997,4,YEDec 1997,Queenstown,Business,Canada,,
108,1997,4,YEDec 1997,Queenstown,Business,China,,
109,1997,4,YEDec 1997,Queenstown,Business,Germany,,
110,1997,4,YEDec 1997,Queenstown,Business,Japan,,
111,1997,4,YEDec 1997,Queenstown,Business,"Korea, Republic of",,
112,1997,4,YEDec 1997,Queenstown,Business,Rest of Americas,,
113,1997,4,YEDec 1997,Queenstown,Business,Rest of Asia,,
114,1997,4,YEDec 1997,Queenstown,Business,Rest of Europe,,
115,1997,4,YEDec 1997,Queenstown,Business,Rest of Oceania,,
116,1997,4,YEDec 1997,Queenstown,Business,UK,,
117,1997,4,YEDec 1997,Queenstown,Business,USA,,
118,1997,4,YEDec 1997,Queenstown,Holiday / vacation,Africa and Middle East,,
119,1997,4,YEDec 1997,Queenstown,Holiday / vacation,Australia,,
120,1997,4,YEDec 1997,Queenstown,Holiday / vacation,Canada,,
121,1997,4,YEDec 1997,Queenstown,Holiday / vacation,China,,
122,1997,4,YEDec 1997,Queenstown,Holiday / vacation,Germany,,
123,1997,4,YEDec 1997,Queenstown,Holiday / vacation,Japan,,
124,1997,4,YEDec 1997,Queenstown,Holiday / vacation,"Korea, Republic of",,
125,1997,4,YEDec 1997,Queenstown,Holiday / vacation,Rest of Americas,,
126,1997,4,YEDec 1997,Queenstown,Holiday / vacation,Rest of Asia,,
127,1997,4,YEDec 1997,Queenstown,Holiday / vacation,Rest of Europe,,
128,1997,4,YEDec 1997,Queenstown,Holiday / vacation,Rest of Oceania,,
129,1997,4,YEDec 1997,Queenstown,Holiday / vacation,UK,,
130,1997,4,YEDec 1997,Queenstown,Holiday / vacation,USA,,
131,1997,4,YEDec 1997,Queenstown,Other,Africa and Middle East,,
132,1997,4,YEDec 1997,Queenstown,Other,Australia,,
133,1997,4,YEDec 1997,Queenstown,Other,Canada,,
134,1997,4,YEDec 1997,Queenstown,Other,China,,
135,1997,4,YEDec 1997,Queenstown,Other,Germany,,
136,1997,4,YEDec 1997,Queenstown,Other,Japan,,
137,1997,4,YEDec 1997,Queenstown,Other,"Korea, Republic of",,
138,1997,4,YEDec 1997,Queenstown,Other,Rest of Americas,,
139,1997,4,YEDec 1997,Queenstown,Other,Rest of Asia,,
140,1997,4,YEDec 1997,Queenstown,Other,Rest of Europe,,
141,1997,4,YEDec 1997,Queenstown,Other,Rest of Oceania,,
142,1997,4,YEDec 1997,Queenstown,Other,UK,,
143,1997,4,YEDec 1997,Queenstown,Other,USA,,
144,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,Africa and Middle East,,
145,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,Australia,,
146,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,Canada,,
147,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,China,,
148,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,Germany,,
149,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,Japan,,
150,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,"Korea, Republic of",,
151,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,Rest of Americas,,
152,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,Rest of Asia,,
153,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,Rest of Europe,,
154,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,Rest of Oceania,,
155,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,UK,,
156,1997,4,YEDec 1997,Queenstown,Visiting friends / relatives,USA,,
157,1997,4,YEDec 1997,Wellington,Business,Africa and Middle East,1539537.9,453
158,1997,4,YEDec 1997,Wellington,Business,Australia,33165637.87,21120
159,1997,4,YEDec 1997,Wellington,Business,Canada,,
160,1997,4,YEDec 1997,Wellington,Business,China,,
161,1997,4,YEDec 1997,Wellington,Business,Germany,,
162,1997,4,YEDec 1997,Wellington,Business,Japan,582410.74,292
163,1997,4,YEDec 1997,Wellington,Business,"Korea, Republic of",,
164,1997,4,YEDec 1997,Wellington,Business,Rest of Americas,,
165,1997,4,YEDec 1997,Wellington,Business,Rest of Asia,2660762.96,677
166,1997,4,YEDec 1997,Wellington,Business,Rest of Europe,160767.35,158
167,1997,4,YEDec 1997,Wellington,Business,Rest of Oceania,,
168,1997,4,YEDec 1997,Wellington,Business,UK,2115799.12,349
169,1997,4,YEDec 1997,Wellington,Business,USA,1263160.29,918
170,1997,4,YEDec 1997,Wellington,Holiday / vacation,Africa and Middle East,,
171,1997,4,YEDec 1997,Wellington,Holiday / vacation,Australia,11671898.21,7159
172,1997,4,YEDec 1997,Wellington,Holiday / vacation,Canada,,
173,1997,4,YEDec 1997,Wellington,Holiday / vacation,China,,
174,1997,4,YEDec 1997,Wellington,Holiday / vacation,Germany,,
175,1997,4,YEDec 1997,Wellington,Holiday / vacation,Japan,,
176,1997,4,YEDec 1997,Wellington,Holiday / vacation,"Korea, Republic of",,
177,1997,4,YEDec 1997,Wellington,Holiday / vacation,Rest of Americas,,
178,1997,4,YEDec 1997,Wellington,Holiday / vacation,Rest of Asia,2159848.77,680
179,1997,4,YEDec 1997,Wellington,Holiday / vacation,Rest of Europe,2053441.79,569
180,1997,4,YEDec 1997,Wellington,Holiday / vacation,Rest of Oceania,,
181,1997,4,YEDec 1997,Wellington,Holiday / vacation,UK,3083925.1,1104
182,1997,4,YEDec 1997,Wellington,Holiday / vacation,USA,4915365.37,899
183,1997,4,YEDec 1997,Wellington,Other,Africa and Middle East,,
184,1997,4,YEDec 1997,Wellington,Other,Australia,4701743.06,3533
185,1997,4,YEDec 1997,Wellington,Other,Canada,,
186,1997,4,YEDec 1997,Wellington,Other,China,,
187,1997,4,YEDec 1997,Wellington,Other,Germany,,
188,1997,4,YEDec 1997,Wellington,Other,Japan,342933.52,204
189,1997,4,YEDec 1997,Wellington,Other,"Korea, Republic of",,
190,1997,4,YEDec 1997,Wellington,Other,Rest of Americas,,
191,1997,4,YEDec 1997,Wellington,Other,Rest of Asia,,
192,1997,4,YEDec 1997,Wellington,Other,Rest of Europe,,
193,1997,4,YEDec 1997,Wellington,Other,Rest of Oceania,,
194,1997,4,YEDec 1997,Wellington,Other,UK,,
195,1997,4,YEDec 1997,Wellington,Other,USA,,
196,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,Africa and Middle East,1096799.97,406
197,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,Australia,49714396.04,27051
198,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,Canada,,
199,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,China,,
200,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,Germany,955699.56,408
201,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,Japan,443263.62,182
202,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,"Korea, Republic of",,
203,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,Rest of Americas,,
204,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,Rest of Asia,765855.36,385
205,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,Rest of Europe,93888.67,200
206,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,Rest of Oceania,198974.58,424
207,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,UK,4007619.63,1525
208,1997,4,YEDec 1997,Wellington,Visiting friends / relatives,USA,1349486.96,654
209,1998,4,YEDec 1998,Auckland,Business,Africa and Middle East,3869387.92,1470
210,1998,4,YEDec 1998,Auckland,Business,Australia,105871973.8,81260
211,1998,4,YEDec 1998,Auckland,Business,Canada,6954459.85,2528
212,1998,4,YEDec 1998,Auckland,Business,China,9494071.42,4292
213,1998,4,YEDec 1998,Auckland,Business,Germany,8224341.72,2614
214,1998,4,YEDec 1998,Auckland,Business,Japan,28931607.8,11486
215,1998,4,YEDec 1998,Auckland,Business,"Korea, Republic of",2954720.33,1481
216,1998,4,YEDec 1998,Auckland,Business,Rest of Americas,13300609.93,4016
217,1998,4,YEDec 1998,Auckland,Business,Rest of Asia,40712003.98,14803
218,1998,4,YEDec 1998,Auckland,Business,Rest of Europe,9591296.92,5667
219,1998,4,YEDec 1998,Auckland,Business,Rest of Oceania,22145714.26,10492
220,1998,4,YEDec 1998,Auckland,Business,UK,22793193.77,7531
221,1998,4,YEDec 1998,Auckland,Business,USA,74900137.31,17996
222,1998,4,YEDec 1998,Auckland,Holiday / vacation,Africa and Middle East,54590067.34,18851
223,1998,4,YEDec 1998,Auckland,Holiday / vacation,Australia,186138507.9,89738
224,1998,4,YEDec 1998,Auckland,Holiday / vacation,Canada,36686496.85,14390
225,1998,4,YEDec 1998,Auckland,Holiday / vacation,China,16629603.92,5787
226,1998,4,YEDec 1998,Auckland,Holiday / vacation,Germany,85224700.9,22818
227,1998,4,YEDec 1998,Auckland,Holiday / vacation,Japan,439342882.3,99080
228,1998,4,YEDec 1998,Auckland,Holiday / vacation,"Korea, Republic of",6353589.59,4317
229,1998,4,YEDec 1998,Auckland,Holiday / vacation,Rest of Americas,39872411.28,14729
230,1998,4,YEDec 1998,Auckland,Holiday / vacation,Rest of Asia,199846965.8,61218
231,1998,4,YEDec 1998,Auckland,Holiday / vacation,Rest of Europe,139316619.3,44737
232,1998,4,YEDec 1998,Auckland,Holiday / vacation,Rest of Oceania,66574747.18,22052
233,1998,4,YEDec 1998,Auckland,Holiday / vacation,UK,254596757.7,67998
234,1998,4,YEDec 1998,Auckland,Holiday / vacation,USA,358795456.8,75705
235,1998,4,YEDec 1998,Auckland,Other,Africa and Middle East,1703639.38,1390
236,1998,4,YEDec 1998,Auckland,Other,Australia,13199773.24,13235
237,1998,4,YEDec 1998,Auckland,Other,Canada,3185862.51,2035
238,1998,4,YEDec 1998,Auckland,Other,China,2155247.23,749
239,1998,4,YEDec 1998,Auckland,Other,Germany,5004492.4,1278
240,1998,4,YEDec 1998,Auckland,Other,Japan,24176858.33,6537
241,1998,4,YEDec 1998,Auckland,Other,"Korea, Republic of",222598.11,216
242,1998,4,YEDec 1998,Auckland,Other,Rest of Americas,669311.13,392
243,1998,4,YEDec 1998,Auckland,Other,Rest of Asia,14644011.1,5449
244,1998,4,YEDec 1998,Auckland,Other,Rest of Europe,11222464.83,3644
245,1998,4,YEDec 1998,Auckland,Other,Rest of Oceania,20167101.03,8408
246,1998,4,YEDec 1998,Auckland,Other,UK,8713614.67,2889
247,1998,4,YEDec 1998,Auckland,Other,USA,14833016.67,5658
248,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,Africa and Middle East,17358091.39,5371
249,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,Australia,141431054.3,85175
250,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,Canada,19914859.59,5830
251,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,China,9990204,3001
252,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,Germany,3980203.36,891
253,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,Japan,24923219.68,5425
254,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,"Korea, Republic of",2250996.57,1510
255,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,Rest of Americas,4076638.57,2494
256,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,Rest of Asia,96468474.92,23854
257,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,Rest of Europe,42284560.57,7996
258,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,Rest of Oceania,76311627.91,31651
259,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,UK,147491485.2,36748
260,1998,4,YEDec 1998,Auckland,Visiting friends / relatives,USA,44594838.78,12925
261,1998,4,YEDec 1998,Christchurch,Business,Africa and Middle East,1892060,526
262,1998,4,YEDec 1998,Christchurch,Business,Australia,27969874.25,14879
263,1998,4,YEDec 1998,Christchurch,Business,Canada,,
264,1998,4,YEDec 1998,Christchurch,Business,China,,
265,1998,4,YEDec 1998,Christchurch,Business,Germany,2732342.36,869
266,1998,4,YEDec 1998,Christchurch,Business,Japan,1874553.25,441
267,1998,4,YEDec 1998,Christchurch,Business,"Korea, Republic of",,
268,1998,4,YEDec 1998,Christchurch,Business,Rest of Americas,,
269,1998,4,YEDec 1998,Christchurch,Business,Rest of Asia,4279299,1670
270,1998,4,YEDec 1998,Christchurch,Business,Rest of Europe,889803.89,927
271,1998,4,YEDec 1998,Christchurch,Business,Rest of Oceania,,
272,1998,4,YEDec 1998,Christchurch,Business,UK,2096307.4,745
273,1998,4,YEDec 1998,Christchurch,Business,USA,19842222.58,2639
274,1998,4,YEDec 1998,Christchurch,Holiday / vacation,Africa and Middle East,17264754.74,6198
275,1998,4,YEDec 1998,Christchurch,Holiday / vacation,Australia,225482371.2,78113
276,1998,4,YEDec 1998,Christchurch,Holiday / vacation,Canada,13146011.11,3634
277,1998,4,YEDec 1998,Christchurch,Holiday / vacation,China,2619536.32,624
278,1998,4,YEDec 1998,Christchurch,Holiday / vacation,Germany,32003626.6,8922
279,1998,4,YEDec 1998,Christchurch,Holiday / vacation,Japan,40999245.8,12605
280,1998,4,YEDec 1998,Christchurch,Holiday / vacation,"Korea, Republic of",742591.63,346
281,1998,4,YEDec 1998,Christchurch,Holiday / vacation,Rest of Americas,8973326.05,2521
282,1998,4,YEDec 1998,Christchurch,Holiday / vacation,Rest of Asia,51903715.02,19940
283,1998,4,YEDec 1998,Christchurch,Holiday / vacation,Rest of Europe,64336733.18,17732
284,1998,4,YEDec 1998,Christchurch,Holiday / vacation,Rest of Oceania,,
285,1998,4,YEDec 1998,Christchurch,Holiday / vacation,UK,102733918,24598
286,1998,4,YEDec 1998,Christchurch,Holiday / vacation,USA,119564938.1,29326
287,1998,4,YEDec 1998,Christchurch,Other,Africa and Middle East,1788837.77,427
288,1998,4,YEDec 1998,Christchurch,Other,Australia,11074884.38,7148
289,1998,4,YEDec 1998,Christchurch,Other,Canada,937629.83,150
290,1998,4,YEDec 1998,Christchurch,Other,China,,
291,1998,4,YEDec 1998,Christchurch,Other,Germany,3388634.67,510
292,1998,4,YEDec 1998,Christchurch,Other,Japan,3117974.88,1138
293,1998,4,YEDec 1998,Christchurch,Other,"Korea, Republic of",,
294,1998,4,YEDec 1998,Christchurch,Other,Rest of Americas,,
295,1998,4,YEDec 1998,Christchurch,Other,Rest of Asia,2045130.87,231
296,1998,4,YEDec 1998,Christchurch,Other,Rest of Europe,4531232.78,906
297,1998,4,YEDec 1998,Christchurch,Other,Rest of Oceania,,
298,1998,4,YEDec 1998,Christchurch,Other,UK,2424244.46,293
299,1998,4,YEDec 1998,Christchurch,Other,USA,2880654.68,729
300,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,Africa and Middle East,2791096.45,900
301,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,Australia,17702318.94,10722
302,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,Canada,1123035.61,444
303,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,China,,
304,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,Germany,6885600.87,1044
305,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,Japan,864621.09,464
306,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,"Korea, Republic of",,
307,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,Rest of Americas,,
308,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,Rest of Asia,6141605.93,2565
309,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,Rest of Europe,5738794.5,1146
310,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,Rest of Oceania,3385917.05,900
311,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,UK,12663174.45,2842
312,1998,4,YEDec 1998,Christchurch,Visiting friends / relatives,USA,5493522.85,1442
313,1998,4,YEDec 1998,Queenstown,Business,Africa and Middle East,,
314,1998,4,YEDec 1998,Queenstown,Business,Australia,,
315,1998,4,YEDec 1998,Queenstown,Business,Canada,,
316,1998,4,YEDec 1998,Queenstown,Business,China,,
317,1998,4,YEDec 1998,Queenstown,Business,Germany,,
318,1998,4,YEDec 1998,Queenstown,Business,Japan,,
319,1998,4,YEDec 1998,Queenstown,Business,"Korea, Republic of",,
320,1998,4,YEDec 1998,Queenstown,Business,Rest of Americas,,
321,1998,4,YEDec 1998,Queenstown,Business,Rest of Asia,,
322,1998,4,YEDec 1998,Queenstown,Business,Rest of Europe,,
323,1998,4,YEDec 1998,Queenstown,Business,Rest of Oceania,,
324,1998,4,YEDec 1998,Queenstown,Business,UK,,
325,1998,4,YEDec 1998,Queenstown,Business,USA,,
326,1998,4,YEDec 1998,Queenstown,Holiday / vacation,Africa and Middle East,,
327,1998,4,YEDec 1998,Queenstown,Holiday / vacation,Australia,,
328,1998,4,YEDec 1998,Queenstown,Holiday / vacation,Canada,,
329,1998,4,YEDec 1998,Queenstown,Holiday / vacation,China,,
330,1998,4,YEDec 1998,Queenstown,Holiday / vacation,Germany,,
331,1998,4,YEDec 1998,Queenstown,Holiday / vacation,Japan,,
332,1998,4,YEDec 1998,Queenstown,Holiday / vacation,"Korea, Republic of",,
333,1998,4,YEDec 1998,Queenstown,Holiday / vacation,Rest of Americas,,
334,1998,4,YEDec 1998,Queenstown,Holiday / vacation,Rest of Asia,,
335,1998,4,YEDec 1998,Queenstown,Holiday / vacation,Rest of Europe,,
336,1998,4,YEDec 1998,Queenstown,Holiday / vacation,Rest of Oceania,,
337,1998,4,YEDec 1998,Queenstown,Holiday / vacation,UK,,
338,1998,4,YEDec 1998,Queenstown,Holiday / vacation,USA,,
339,1998,4,YEDec 1998,Queenstown,Other,Africa and Middle East,,
340,1998,4,YEDec 1998,Queenstown,Other,Australia,,
341,1998,4,YEDec 1998,Queenstown,Other,Canada,,
342,1998,4,YEDec 1998,Queenstown,Other,China,,
343,1998,4,YEDec 1998,Queenstown,Other,Germany,,
344,1998,4,YEDec 1998,Queenstown,Other,Japan,,
345,1998,4,YEDec 1998,Queenstown,Other,"Korea, Republic of",,
346,1998,4,YEDec 1998,Queenstown,Other,Rest of Americas,,
347,1998,4,YEDec 1998,Queenstown,Other,Rest of Asia,,
348,1998,4,YEDec 1998,Queenstown,Other,Rest of Europe,,
349,1998,4,YEDec 1998,Queenstown,Other,Rest of Oceania,,
350,1998,4,YEDec 1998,Queenstown,Other,UK,,
351,1998,4,YEDec 1998,Queenstown,Other,USA,,
352,1998,4,YEDec 1998,Queenstown,Visiting friends / relatives,Africa and Middle East,,
353,1998,4,YEDec 1998,Queenstown,Visiting friends / relatives,Australia,,
354,1998,4,YEDec 1998,Queenstown,Visiting friends / relatives,Canada,,
355,1998,4,YEDec 1998,Queenstown,Visiting friends / relatives,China,,
356,1998,4,YEDec 1998,Queenstown,Visiting friends / relatives,Germany,,
357,1998,4,YEDec 1998,Queenstown,Visiting friends / relatives,Japan,,
358,1998,4,YEDec 1998,Queenstown,Visiting friends / relatives,"Korea, Republic of",,
359,1998,4,YEDec 1998,Queenstown,Visiting friends / relatives,Rest of Americas,,
360,1998,4,YEDec 1998,Queenstown,Visiting friends / relatives,Rest of Asia,,
361,1998,4,YEDec 1998,Queenstown,Visiting friends / relatives,Rest of Europe,,
